<<<<<<< HEAD
V1,V2
Star Wars: Episode I - The Phantom Menace,Jake Lloyd
Star Wars: Episode I - The Phantom Menace,Ian McDiarmid
Star Wars: Episode I - The Phantom Menace,Pernilla August
Star Wars: Episode I - The Phantom Menace,Oliver Ford Davies
Star Wars: Episode I - The Phantom Menace,Hugh Quarshie
Star Wars: Episode I - The Phantom Menace,Ahmed Best
Star Wars: Episode I - The Phantom Menace,Anthony Daniels
The Matrix,Keanu Reeves
The Matrix,Laurence Fishburne
The Matrix,Carrie-Anne Moss
The Matrix,Hugo Weaving
The Matrix,Gloria Foster
The Matrix,Joe Pantoliano
The Matrix,Marcus Chong
The Matrix,Julian Arahanga
The Matrix,Matt Doran
The Matrix,Belinda McClory
Notting Hill,Julia Roberts
Notting Hill,Hugh Grant
Notting Hill,Richard McCabe
Notting Hill,Rhys Ifans
Notting Hill,James Dreyfus
Notting Hill,Dylan Moran
Notting Hill,Roger Frost
Notting Hill,Henry Goodman
Notting Hill,Julian Rhind-Tutt
Notting Hill,Lorelei King
Eyes Wide Shut,Tom Cruise
Eyes Wide Shut,Nicole Kidman
Eyes Wide Shut,Sydney Pollack
Eyes Wide Shut,Marie Richardson
Eyes Wide Shut,Rade Serbedzija
Eyes Wide Shut,Todd Field
Eyes Wide Shut,Vinessa Shaw
Eyes Wide Shut,Sky du Mont
Eyes Wide Shut,Fay Masterson
Eyes Wide Shut,Leelee Sobieski
The Green Mile,Tom Hanks
The Green Mile,David Morse
The Green Mile,Michael Clarke Duncan
The Green Mile,Bonnie Hunt
The Green Mile,James Cromwell
The Green Mile,Michael Jeter
The Green Mile,Graham Greene
The Green Mile,Doug Hutchison
The Green Mile,Sam Rockwell
The Green Mile,Barry Pepper
10 Things I Hate About You,Heath Ledger
10 Things I Hate About You,Julia Stiles
10 Things I Hate About You,Joseph Gordon-Levitt
10 Things I Hate About You,Larisa Oleynik
10 Things I Hate About You,David Krumholtz
10 Things I Hate About You,Andrew Keegan
10 Things I Hate About You,Susan May Pratt
10 Things I Hate About You,Gabrielle Union
10 Things I Hate About You,Larry Miller
10 Things I Hate About You,Daryl Mitchell
American Pie,Jason Biggs
American Pie,Chris Klein
American Pie,Thomas Ian Nicholas
American Pie,Alyson Hannigan
American Pie,Shannon Elizabeth
American Pie,Tara Reid
American Pie,Eddie Kaye Thomas
American Pie,Seann William Scott
American Pie,Eugene Levy
American Pie,Natasha Lyonne
"Girl, Interrupted",Winona Ryder
"Girl, Interrupted",Angelina Jolie
"Girl, Interrupted",Clea DuVall
"Girl, Interrupted",Brittany Murphy
"Girl, Interrupted",Elisabeth Moss
"Girl, Interrupted",Jared Leto
"Girl, Interrupted",Jeffrey Tambor
"Girl, Interrupted",Vanessa Redgrave
"Girl, Interrupted",Whoopi Goldberg
"Girl, Interrupted",Angela Bettis
=======
V1,V2
Inception,Leonardo DiCaprio
Inception,Joseph Gordon-Levitt
Inception,Ellen Page
Inception,Tom Hardy
Inception,Ken Watanabe
Inception,Dileep Rao
Inception,Cillian Murphy
Inception,Tom Berenger
Inception,Marion Cotillard
Inception,Pete Postlethwaite
Alice in Wonderland,Johnny Depp
Alice in Wonderland,Mia Wasikowska
Alice in Wonderland,Helena Bonham Carter
Alice in Wonderland,Anne Hathaway
Alice in Wonderland,Crispin Glover
Alice in Wonderland,Matt Lucas
Alice in Wonderland,Michael Sheen
Alice in Wonderland,Stephen Fry
Alice in Wonderland,Alan Rickman
Alice in Wonderland,Barbara Windsor
Kick-Ass,Aaron Taylor-Johnson
Kick-Ass,Garrett M. Brown
Kick-Ass,Evan Peters
Kick-Ass,Deborah Twiss
Kick-Ass,Lyndsy Fonseca
Kick-Ass,Sophie Wu
Kick-Ass,Elizabeth McGovern
Kick-Ass,Christopher Mintz-Plasse
Kick-Ass,Stu 'Large' Riley
Kick-Ass,Johnny Hopkins
Toy Story 3,Tom Hanks
Toy Story 3,Tim Allen
Toy Story 3,Joan Cusack
Toy Story 3,Ned Beatty
Toy Story 3,Don Rickles
Toy Story 3,Michael Keaton
Toy Story 3,Wallace Shawn
Toy Story 3,John Ratzenberger
Toy Story 3,Estelle Harris
Toy Story 3,John Morris
How to Train Your Dragon,Jay Baruchel
How to Train Your Dragon,Gerard Butler
How to Train Your Dragon,Craig Ferguson
How to Train Your Dragon,America Ferrera
How to Train Your Dragon,Jonah Hill
How to Train Your Dragon,Christopher Mintz-Plasse
How to Train Your Dragon,T.J. Miller
How to Train Your Dragon,Kristen Wiig
How to Train Your Dragon,Robin Atkin Downes
How to Train Your Dragon,Philip McGrade
Despicable Me,Steve Carell
Despicable Me,Jason Segel
Despicable Me,Russell Brand
Despicable Me,Julie Andrews
Despicable Me,Will Arnett
Despicable Me,Kristen Wiig
Despicable Me,Miranda Cosgrove
Despicable Me,Dana Gaier
Despicable Me,Elsie Fisher
Despicable Me,Pierre Coffin
Scott Pilgrim vs. the World,Michael Cera
Scott Pilgrim vs. the World,Alison Pill
Scott Pilgrim vs. the World,Mark Webber
Scott Pilgrim vs. the World,Johnny Simmons
Scott Pilgrim vs. the World,Ellen Wong
Scott Pilgrim vs. the World,Kieran Culkin
Scott Pilgrim vs. the World,Anna Kendrick
Scott Pilgrim vs. the World,Aubrey Plaza
Scott Pilgrim vs. the World,Mary Elizabeth Winstead
Scott Pilgrim vs. the World,Ben Lewis
Hot Tub Time Machine,John Cusack
Hot Tub Time Machine,Clark Duke
Hot Tub Time Machine,Craig Robinson
Hot Tub Time Machine,Rob Corddry
Hot Tub Time Machine,Sebastian Stan
Hot Tub Time Machine,Lyndsy Fonseca
Hot Tub Time Machine,Crispin Glover
Hot Tub Time Machine,Chevy Chase
Hot Tub Time Machine,Charlie McDermott
Hot Tub Time Machine,Lizzy Caplan
Harry Potter and the Deathly Hallows: Part 1,Bill Nighy
Harry Potter and the Deathly Hallows: Part 1,Emma Watson
Harry Potter and the Deathly Hallows: Part 1,Richard Griffiths
Harry Potter and the Deathly Hallows: Part 1,Harry Melling
Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part 1,Julie Walters
Harry Potter and the Deathly Hallows: Part 1,Bonnie Wright
Harry Potter and the Deathly Hallows: Part 1,Rupert Grint
Harry Potter and the Deathly Hallows: Part 1,Ian Kelly
Harry Potter and the Deathly Hallows: Part 1,Michelle Fairley
Tangled,Mandy Moore
Tangled,Zachary Levi
Tangled,Donna Murphy
Tangled,Ron Perlman
Tangled,M.C. Gainey
Tangled,Jeffrey Tambor
Tangled,Brad Garrett
Tangled,Paul F. Tompkins
Tangled,Richard Kiel
Tangled,Delaney Rose Stein
The Interview,James Franco
The Interview,Seth Rogen
The Interview,Lizzy Caplan
The Interview,Randall Park
The Interview,Diana Bang
The Interview,Timothy Simons
The Interview,Reese Alexander
The Interview,James Yi
The Interview,Paul Bae
The Interview,Geoff Gustafson
The Hobbit: The Battle of the Five Armies,Ian McKellen
The Hobbit: The Battle of the Five Armies,Martin Freeman
The Hobbit: The Battle of the Five Armies,Richard Armitage
The Hobbit: The Battle of the Five Armies,Ken Stott
The Hobbit: The Battle of the Five Armies,Graham McTavish
The Hobbit: The Battle of the Five Armies,William Kircher
The Hobbit: The Battle of the Five Armies,James Nesbitt
The Hobbit: The Battle of the Five Armies,Stephen Hunter
The Hobbit: The Battle of the Five Armies,Dean O'Gorman
The Hobbit: The Battle of the Five Armies,Aidan Turner
Into the Woods,Anna Kendrick
Into the Woods,Daniel Huttlestone
Into the Woods,James Corden
Into the Woods,Emily Blunt
Into the Woods,Christine Baranski
Into the Woods,Tammy Blanchard
Into the Woods,Lucy Punch
Into the Woods,Tracey Ullman
Into the Woods,Lilla Crawford
Into the Woods,Meryl Streep
Unbroken,Matthew Crocker
Unbroken,Jack O'Connell
Unbroken,Domhnall Gleeson
Unbroken,Garrett Hedlund
Unbroken,Takamasa Ishihara
Unbroken,Finn Wittrock
Unbroken,Jai Courtney
Unbroken,Maddalena Ischiale
Unbroken,Vincenzo Amato
Unbroken,John Magaro
Gone Girl,Ben Affleck
Gone Girl,Rosamund Pike
Gone Girl,Neil Patrick Harris
Gone Girl,Tyler Perry
Gone Girl,Carrie Coon
Gone Girl,Kim Dickens
Gone Girl,Patrick Fugit
Gone Girl,David Clennon
Gone Girl,Lisa Banes
Gone Girl,Missi Pyle
Guardians of the Galaxy,Chris Pratt
Guardians of the Galaxy,Zoe Saldana
Guardians of the Galaxy,Dave Bautista
Guardians of the Galaxy,Vin Diesel
Guardians of the Galaxy,Bradley Cooper
Guardians of the Galaxy,Lee Pace
Guardians of the Galaxy,Michael Rooker
Guardians of the Galaxy,Karen Gillan
Guardians of the Galaxy,Djimon Hounsou
Guardians of the Galaxy,John C. Reilly
American Sniper,Bradley Cooper
American Sniper,Kyle Gallner
American Sniper,Cole Konis
American Sniper,Ben Reed
American Sniper,Elise Robertson
American Sniper,Luke Sunshine
American Sniper,Troy Vincent
American Sniper,Brandon Salgado Telis
American Sniper,Keir O'Donnell
American Sniper,Marnette Patterson
Exodus: Gods and Kings,Christian Bale
Exodus: Gods and Kings,Joel Edgerton
Exodus: Gods and Kings,John Turturro
Exodus: Gods and Kings,Aaron Paul
Exodus: Gods and Kings,Ben Mendelsohn
Exodus: Gods and Kings,María Valverde
Exodus: Gods and Kings,Sigourney Weaver
Exodus: Gods and Kings,Ben Kingsley
Exodus: Gods and Kings,Hiam Abbass
Exodus: Gods and Kings,Isaac Andrews
Annie,Jamie Foxx
Annie,Quvenzhané Wallis
Annie,Rose Byrne
Annie,Bobby Cannavale
Annie,Adewale Akinnuoye-Agbaje
Annie,David Zayas
Annie,Cameron Diaz
Annie,Zoe Margaret Colletti
Annie,Nicolette Pierini
Annie,Eden Duncan-Smith
Interstellar,Ellen Burstyn
Interstellar,Matthew McConaughey
Interstellar,Mackenzie Foy
Interstellar,John Lithgow
Interstellar,Timothée Chalamet
Interstellar,David Oyelowo
Interstellar,Collette Wolfe
Interstellar,Francis X. McCarthy
Interstellar,Bill Irwin
Interstellar,Anne Hathaway
Frozen,Kristen Bell
Frozen,Idina Menzel
Frozen,Jonathan Groff
Frozen,Josh Gad
Frozen,Santino Fontana
Frozen,Alan Tudyk
Frozen,Ciarán Hinds
Frozen,Chris Williams
Frozen,Stephen J. Anderson
Frozen,Maia Wilson
The Hobbit: The Desolation of Smaug,Ian McKellen
The Hobbit: The Desolation of Smaug,Martin Freeman
The Hobbit: The Desolation of Smaug,Richard Armitage
The Hobbit: The Desolation of Smaug,Ken Stott
The Hobbit: The Desolation of Smaug,Graham McTavish
The Hobbit: The Desolation of Smaug,William Kircher
The Hobbit: The Desolation of Smaug,James Nesbitt
The Hobbit: The Desolation of Smaug,Stephen Hunter
The Hobbit: The Desolation of Smaug,Dean O'Gorman
The Hobbit: The Desolation of Smaug,Aidan Turner
The Wolf of Wall Street,Leonardo DiCaprio
The Wolf of Wall Street,Jonah Hill
The Wolf of Wall Street,Margot Robbie
The Wolf of Wall Street,Matthew McConaughey
The Wolf of Wall Street,Kyle Chandler
The Wolf of Wall Street,Rob Reiner
The Wolf of Wall Street,Jon Bernthal
The Wolf of Wall Street,Jon Favreau
The Wolf of Wall Street,Jean Dujardin
The Wolf of Wall Street,Joanna Lumley
Snowpiercer,Chris Evans
Snowpiercer,Kang-ho Song
Snowpiercer,Ed Harris
Snowpiercer,John Hurt
Snowpiercer,Tilda Swinton
Snowpiercer,Jamie Bell
Snowpiercer,Octavia Spencer
Snowpiercer,Ewen Bremner
Snowpiercer,Ah-sung Ko
Snowpiercer,Alison Pill
The Hunger Games: Catching Fire,Jennifer Lawrence
The Hunger Games: Catching Fire,Liam Hemsworth
The Hunger Games: Catching Fire,Jack Quaid
The Hunger Games: Catching Fire,Taylor St. Clair
The Hunger Games: Catching Fire,Sandra Ellis Lafferty
The Hunger Games: Catching Fire,Woody Harrelson
The Hunger Games: Catching Fire,Josh Hutcherson
The Hunger Games: Catching Fire,Paula Malcomson
The Hunger Games: Catching Fire,Willow Shields
The Hunger Games: Catching Fire,Donald Sutherland
American Hustle,Christian Bale
American Hustle,Bradley Cooper
American Hustle,Amy Adams
American Hustle,Jeremy Renner
American Hustle,Jennifer Lawrence
American Hustle,Louis C.K.
American Hustle,Jack Huston
American Hustle,Michael Peña
American Hustle,Shea Whigham
American Hustle,Alessandro Nivola
Lone Survivor,Mark Wahlberg
Lone Survivor,Taylor Kitsch
Lone Survivor,Emile Hirsch
Lone Survivor,Ben Foster
Lone Survivor,Yousuf Azami
Lone Survivor,Ali Suliman
Lone Survivor,Eric Bana
Lone Survivor,Alexander Ludwig
Lone Survivor,Rich Ting
Lone Survivor,Dan Bilzerian
Nymphomaniac: Vol. I,Charlotte Gainsbourg
Nymphomaniac: Vol. I,Stellan Skarsgård
Nymphomaniac: Vol. I,Stacy Martin
Nymphomaniac: Vol. I,Shia LaBeouf
Nymphomaniac: Vol. I,Christian Slater
Nymphomaniac: Vol. I,Uma Thurman
Nymphomaniac: Vol. I,Sophie Kennedy Clark
Nymphomaniac: Vol. I,Connie Nielsen
Nymphomaniac: Vol. I,Ronja Rissmann
Nymphomaniac: Vol. I,Maja Arsovic
This Is the End,James Franco
This Is the End,Jonah Hill
This Is the End,Seth Rogen
This Is the End,Jay Baruchel
This Is the End,Danny McBride
This Is the End,Craig Robinson
This Is the End,Michael Cera
This Is the End,Emma Watson
This Is the End,Mindy Kaling
This Is the End,David Krumholtz
Her,Joaquin Phoenix
Her,Lynn Adrianna
Her,Lisa Renee Pitts
Her,Gabe Gomez
Her,Chris Pratt
Her,Artt Butler
Her,May Lindstrom
Her,Rooney Mara
Her,Bill Hader
Her,Kristen Wiig
The Hobbit: An Unexpected Journey,Ian McKellen
The Hobbit: An Unexpected Journey,Martin Freeman
The Hobbit: An Unexpected Journey,Richard Armitage
The Hobbit: An Unexpected Journey,Ken Stott
The Hobbit: An Unexpected Journey,Graham McTavish
The Hobbit: An Unexpected Journey,William Kircher
The Hobbit: An Unexpected Journey,James Nesbitt
The Hobbit: An Unexpected Journey,Stephen Hunter
The Hobbit: An Unexpected Journey,Dean O'Gorman
The Hobbit: An Unexpected Journey,Aidan Turner
Skyfall,Daniel Craig
Skyfall,Judi Dench
Skyfall,Javier Bardem
Skyfall,Ralph Fiennes
Skyfall,Naomie Harris
Skyfall,Bérénice Marlohe
Skyfall,Albert Finney
Skyfall,Ben Whishaw
Skyfall,Rory Kinnear
Skyfall,Ola Rapace
The Avengers,Robert Downey Jr.
The Avengers,Chris Evans
The Avengers,Mark Ruffalo
The Avengers,Chris Hemsworth
The Avengers,Scarlett Johansson
The Avengers,Jeremy Renner
The Avengers,Tom Hiddleston
The Avengers,Clark Gregg
The Avengers,Cobie Smulders
The Avengers,Stellan Skarsgård
The Hunger Games,Stanley Tucci
The Hunger Games,Wes Bentley
The Hunger Games,Jennifer Lawrence
The Hunger Games,Willow Shields
The Hunger Games,Liam Hemsworth
The Hunger Games,Elizabeth Banks
The Hunger Games,Sandra Ellis Lafferty
The Hunger Games,Paula Malcomson
The Hunger Games,Rhoda Griffis
The Hunger Games,Sandino Moya
Prometheus,Noomi Rapace
Prometheus,Michael Fassbender
Prometheus,Charlize Theron
Prometheus,Idris Elba
Prometheus,Guy Pearce
Prometheus,Logan Marshall-Green
Prometheus,Sean Harris
Prometheus,Rafe Spall
Prometheus,Emun Elliott
Prometheus,Benedict Wong
Django Unchained,Jamie Foxx
Django Unchained,Christoph Waltz
Django Unchained,Leonardo DiCaprio
Django Unchained,Kerry Washington
Django Unchained,Samuel L. Jackson
Django Unchained,Walton Goggins
Django Unchained,Dennis Christopher
Django Unchained,James Remar
Django Unchained,David Steen
Django Unchained,Dana Gourrier
The Dark Knight Rises,Christian Bale
The Dark Knight Rises,Gary Oldman
The Dark Knight Rises,Tom Hardy
The Dark Knight Rises,Joseph Gordon-Levitt
The Dark Knight Rises,Anne Hathaway
The Dark Knight Rises,Marion Cotillard
The Dark Knight Rises,Morgan Freeman
The Dark Knight Rises,Michael Caine
The Dark Knight Rises,Matthew Modine
The Dark Knight Rises,Alon Aboutboul
Men in Black 3,Will Smith
Men in Black 3,Tommy Lee Jones
Men in Black 3,Josh Brolin
Men in Black 3,Jemaine Clement
Men in Black 3,Emma Thompson
Men in Black 3,Michael Stuhlbarg
Men in Black 3,Mike Colter
Men in Black 3,Nicole Scherzinger
Men in Black 3,Michael Chernus
Men in Black 3,Alice Eve
The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson
The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner
The Twilight Saga: Breaking Dawn - Part 2,Peter Facinelli
The Twilight Saga: Breaking Dawn - Part 2,Elizabeth Reaser
The Twilight Saga: Breaking Dawn - Part 2,Ashley Greene
The Twilight Saga: Breaking Dawn - Part 2,Jackson Rathbone
The Twilight Saga: Breaking Dawn - Part 2,Kellan Lutz
The Twilight Saga: Breaking Dawn - Part 2,Nikki Reed
The Twilight Saga: Breaking Dawn - Part 2,Billy Burke
Pitch Perfect,Anna Kendrick
Pitch Perfect,Skylar Astin
Pitch Perfect,Ben Platt
Pitch Perfect,Brittany Snow
Pitch Perfect,Anna Camp
Pitch Perfect,Rebel Wilson
Pitch Perfect,Alexis Knapp
Pitch Perfect,Ester Dean
Pitch Perfect,Hana Mae Lee
Pitch Perfect,Kelley Jakle
Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes
Harry Potter and the Deathly Hallows: Part 2,Michael Gambon
Harry Potter and the Deathly Hallows: Part 2,Alan Rickman
Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part 2,Rupert Grint
Harry Potter and the Deathly Hallows: Part 2,Emma Watson
Harry Potter and the Deathly Hallows: Part 2,Evanna Lynch
Harry Potter and the Deathly Hallows: Part 2,Domhnall Gleeson
Harry Potter and the Deathly Hallows: Part 2,Clémence Poésy
Harry Potter and the Deathly Hallows: Part 2,Warwick Davis
Arthur Christmas,James McAvoy
Arthur Christmas,Hugh Laurie
Arthur Christmas,Bill Nighy
Arthur Christmas,Jim Broadbent
Arthur Christmas,Imelda Staunton
Arthur Christmas,Ashley Jensen
Arthur Christmas,Marc Wootton
Arthur Christmas,Laura Linney
Arthur Christmas,Eva Longoria
Arthur Christmas,Ramona Marquez
Captain America: The First Avenger,Chris Evans
Captain America: The First Avenger,Hayley Atwell
Captain America: The First Avenger,Sebastian Stan
Captain America: The First Avenger,Tommy Lee Jones
Captain America: The First Avenger,Hugo Weaving
Captain America: The First Avenger,Dominic Cooper
Captain America: The First Avenger,Richard Armitage
Captain America: The First Avenger,Stanley Tucci
Captain America: The First Avenger,Samuel L. Jackson
Captain America: The First Avenger,Toby Jones
Bridesmaids,Kristen Wiig
Bridesmaids,Terry Crews
Bridesmaids,Maya Rudolph
Bridesmaids,Tom Yi
Bridesmaids,Elaine Kao
Bridesmaids,Michael Hitchcock
Bridesmaids,Kali Hawk
Bridesmaids,Joe Nunez
Bridesmaids,Rebel Wilson
Bridesmaids,Matt Lucas
The Girl with the Dragon Tattoo,Daniel Craig
The Girl with the Dragon Tattoo,Rooney Mara
The Girl with the Dragon Tattoo,Christopher Plummer
The Girl with the Dragon Tattoo,Stellan Skarsgård
The Girl with the Dragon Tattoo,Steven Berkoff
The Girl with the Dragon Tattoo,Robin Wright
The Girl with the Dragon Tattoo,Yorick van Wageningen
The Girl with the Dragon Tattoo,Joely Richardson
The Girl with the Dragon Tattoo,Geraldine James
The Girl with the Dragon Tattoo,Goran Visnjic
Horrible Bosses,Jason Bateman
Horrible Bosses,Steve Wiebe
Horrible Bosses,Kevin Spacey
Horrible Bosses,Charlie Day
Horrible Bosses,Lindsay Sloane
Horrible Bosses,Michael Albala
Horrible Bosses,Jennifer Aniston
Horrible Bosses,Jason Sudeikis
Horrible Bosses,Jennifer Hasty
Horrible Bosses,Reginald Ballard
The Intouchables,François Cluzet
The Intouchables,Omar Sy
The Intouchables,Anne Le Ny
The Intouchables,Audrey Fleurot
The Intouchables,Joséphine de Meaux
The Intouchables,Clotilde Mollet
The Intouchables,Alba Gaïa Kraghede Bellugi
The Intouchables,Cyril Mendy
The Intouchables,Salimata Kamate
The Intouchables,Absa Diatou Toure
Thor,Chris Hemsworth
Thor,Natalie Portman
Thor,Tom Hiddleston
Thor,Anthony Hopkins
Thor,Stellan Skarsgård
Thor,Kat Dennings
Thor,Clark Gregg
Thor,Colm Feore
Thor,Idris Elba
Thor,Ray Stevenson
X-Men: First Class,James McAvoy
X-Men: First Class,Laurence Belcher
X-Men: First Class,Michael Fassbender
X-Men: First Class,Bill Milner
X-Men: First Class,Kevin Bacon
X-Men: First Class,Rose Byrne
X-Men: First Class,Jennifer Lawrence
X-Men: First Class,Beth Goddard
X-Men: First Class,Morgan Lily
X-Men: First Class,Oliver Platt
Rise of the Planet of the Apes,Andy Serkis
Rise of the Planet of the Apes,Karin Konoval
Rise of the Planet of the Apes,Terry Notary
Rise of the Planet of the Apes,Richard Ridings
Rise of the Planet of the Apes,Christopher Gordon
Rise of the Planet of the Apes,Devyn Dalton
Rise of the Planet of the Apes,Jay Caputo
Rise of the Planet of the Apes,James Franco
Rise of the Planet of the Apes,Freida Pinto
Rise of the Planet of the Apes,John Lithgow
A Christmas Carol,Jim Carrey
A Christmas Carol,Steve Valentine
A Christmas Carol,Daryl Sabara
A Christmas Carol,Sage Ryan
A Christmas Carol,Amber Gainey Meade
A Christmas Carol,Ryan Ochoa
A Christmas Carol,Bobbi Page
A Christmas Carol,Ron Bottitta
A Christmas Carol,Sammi Hanratty
A Christmas Carol,Julian Holloway
Night at the Museum: Battle of the Smithsonian,Ben Stiller
Night at the Museum: Battle of the Smithsonian,Amy Adams
Night at the Museum: Battle of the Smithsonian,Owen Wilson
Night at the Museum: Battle of the Smithsonian,Hank Azaria
Night at the Museum: Battle of the Smithsonian,Robin Williams
Night at the Museum: Battle of the Smithsonian,Christopher Guest
Night at the Museum: Battle of the Smithsonian,Alain Chabat
Night at the Museum: Battle of the Smithsonian,Steve Coogan
Night at the Museum: Battle of the Smithsonian,Ricky Gervais
Night at the Museum: Battle of the Smithsonian,Bill Hader
Inglourious Basterds,Brad Pitt
Inglourious Basterds,Mélanie Laurent
Inglourious Basterds,Christoph Waltz
Inglourious Basterds,Eli Roth
Inglourious Basterds,Michael Fassbender
Inglourious Basterds,Diane Kruger
Inglourious Basterds,Daniel Brühl
Inglourious Basterds,Til Schweiger
Inglourious Basterds,Gedeon Burkhard
Inglourious Basterds,Jacky Ido
Avatar,Sam Worthington
Avatar,Zoe Saldana
Avatar,Sigourney Weaver
Avatar,Stephen Lang
Avatar,Michelle Rodriguez
Avatar,Giovanni Ribisi
Avatar,Joel David Moore
Avatar,CCH Pounder
Avatar,Wes Studi
Avatar,Laz Alonso
Harry Potter and the Half-Blood Prince,Daniel Radcliffe
Harry Potter and the Half-Blood Prince,Michael Gambon
Harry Potter and the Half-Blood Prince,Dave Legeno
Harry Potter and the Half-Blood Prince,Elarica Gallacher
Harry Potter and the Half-Blood Prince,Jim Broadbent
Harry Potter and the Half-Blood Prince,Geraldine Somerville
Harry Potter and the Half-Blood Prince,Bonnie Wright
Harry Potter and the Half-Blood Prince,Julie Walters
Harry Potter and the Half-Blood Prince,Rupert Grint
Harry Potter and the Half-Blood Prince,Emma Watson
Star Trek,Chris Pine
Star Trek,Zachary Quinto
Star Trek,Leonard Nimoy
Star Trek,Eric Bana
Star Trek,Bruce Greenwood
Star Trek,Karl Urban
Star Trek,Zoe Saldana
Star Trek,Simon Pegg
Star Trek,John Cho
Star Trek,Anton Yelchin
The Hangover,Bradley Cooper
The Hangover,Ed Helms
The Hangover,Zach Galifianakis
The Hangover,Justin Bartha
The Hangover,Heather Graham
The Hangover,Sasha Barrese
The Hangover,Jeffrey Tambor
The Hangover,Ken Jeong
The Hangover,Rachael Harris
The Hangover,Mike Tyson
Nativity!,Martin Freeman
Nativity!,Marc Wootton
Nativity!,Jason Watkins
Nativity!,Ashley Jensen
Nativity!,Pam Ferris
Nativity!,Alan Carr
Nativity!,Ricky Tomlinson
Nativity!,Rosie Cavaliero
Nativity!,John Sessions
Nativity!,Phyllis Logan
3 Idiots,Aamir Khan
3 Idiots,Madhavan
3 Idiots,Sharman Joshi
3 Idiots,Kareena Kapoor
3 Idiots,Boman Irani
3 Idiots,Omi Vaidya
3 Idiots,Mona Singh
3 Idiots,Javed Jaffrey
3 Idiots,Parikshat Sahni
3 Idiots,Sanjay Lafont
Watchmen,Malin Akerman
Watchmen,Billy Crudup
Watchmen,Matthew Goode
Watchmen,Jackie Earle Haley
Watchmen,Jeffrey Dean Morgan
Watchmen,Patrick Wilson
Watchmen,Carla Gugino
Watchmen,Matt Frewer
Watchmen,Stephen McHattie
Watchmen,Laura Mennell
The Dark Knight,Christian Bale
The Dark Knight,Heath Ledger
The Dark Knight,Aaron Eckhart
The Dark Knight,Michael Caine
The Dark Knight,Maggie Gyllenhaal
The Dark Knight,Gary Oldman
The Dark Knight,Morgan Freeman
The Dark Knight,Monique Gabriela Curnen
The Dark Knight,Ron Dean
The Dark Knight,Cillian Murphy
Four Christmases,Vince Vaughn
Four Christmases,Reese Witherspoon
Four Christmases,Robert Duvall
Four Christmases,Sissy Spacek
Four Christmases,Jon Voight
Four Christmases,Jon Favreau
Four Christmases,Mary Steenburgen
Four Christmases,Dwight Yoakam
Four Christmases,Tim McGraw
Four Christmases,Kristin Chenoweth
Iron Man,Robert Downey Jr.
Iron Man,Terrence Howard
Iron Man,Jeff Bridges
Iron Man,Gwyneth Paltrow
Iron Man,Leslie Bibb
Iron Man,Shaun Toub
Iron Man,Faran Tahir
Iron Man,Clark Gregg
Iron Man,Bill Smitrovich
Iron Man,Sayed Badreya
Twilight,Kristen Stewart
Twilight,Sarah Clarke
Twilight,Matt Bushell
Twilight,Billy Burke
Twilight,Gil Birmingham
Twilight,Taylor Lautner
Twilight,Gregory Tyree Boyce
Twilight,Justin Chon
Twilight,Michael Welch
Twilight,Anna Kendrick
Gran Torino,Clint Eastwood
Gran Torino,Christopher Carley
Gran Torino,Bee Vang
Gran Torino,Ahney Her
Gran Torino,Brian Haley
Gran Torino,Geraldine Hughes
Gran Torino,Dreama Walker
Gran Torino,Brian Howe
Gran Torino,John Carroll Lynch
Gran Torino,William Hill
Pineapple Express,Seth Rogen
Pineapple Express,James Franco
Pineapple Express,Danny McBride
Pineapple Express,Kevin Corrigan
Pineapple Express,Craig Robinson
Pineapple Express,Gary Cole
Pineapple Express,Rosie Perez
Pineapple Express,Ed Begley Jr.
Pineapple Express,Nora Dunn
Pineapple Express,Amber Heard
Taken,Liam Neeson
Taken,Maggie Grace
Taken,Jon Gries
Taken,David Warshofsky
Taken,Holly Valance
Taken,Katie Cassidy
Taken,Xander Berkeley
Taken,Olivier Rabourdin
Taken,Gérard Watkins
Taken,Famke Janssen
The Chronicles of Narnia: Prince Caspian,Ben Barnes
The Chronicles of Narnia: Prince Caspian,Georgie Henley
The Chronicles of Narnia: Prince Caspian,Skandar Keynes
The Chronicles of Narnia: Prince Caspian,William Moseley
The Chronicles of Narnia: Prince Caspian,Anna Popplewell
The Chronicles of Narnia: Prince Caspian,Sergio Castellitto
The Chronicles of Narnia: Prince Caspian,Peter Dinklage
The Chronicles of Narnia: Prince Caspian,Warwick Davis
The Chronicles of Narnia: Prince Caspian,Vincent Grass
The Chronicles of Narnia: Prince Caspian,Pierfrancesco Favino
The Curious Case of Benjamin Button,Cate Blanchett
The Curious Case of Benjamin Button,Brad Pitt
The Curious Case of Benjamin Button,Julia Ormond
The Curious Case of Benjamin Button,Faune A. Chambers
The Curious Case of Benjamin Button,Elias Koteas
