<<<<<<< HEAD
,Phoenix,Dumbeldore's Army,Death Eaters,Inquisitorial Squad,Prefect,Gryffindor,Ravenclaw,Hufflepuff,Slytherin
,Phoenix,Dumbeldore's Army,Death Eaters,Inquisitorial Squad,Prefect,Gryffindor,Ravenclaw,Hufflepuff,Slytherin
Albus Dumbledore,1,0,0,0,1,1,0,0,0
Remus Lupin,1,0,0,0,1,1,0,0,0
Molly Weasley,1,0,0,0,0,1,0,0,0
Siruis Black,1,0,0,0,0,1,0,0,0
Severus Snape,1,0,1,0,0,0,0,0,1
Alastor Moody,1,0,0,0,0,0,0,1,0
Minerva McGonagall,1,0,0,0,1,1,0,0,0
Rubeus Hagrid,1,0,0,0,0,1,0,0,0
Kingsley Shacklebolt,1,0,0,0,0,1,0,0,0
Nymphadora Tonks,1,0,0,0,0,0,0,1,0
Mundungus Fletcher,1,0,0,0,0,0,0,0,0
Dedalus Diggle,1,0,0,0,0,0,0,0,0
Elphias Dode,1,0,0,0,0,1,0,0,0
Aberforth Dumbledore,1,0,0,0,0,1,0,0,0
Arabella Figg,1,0,0,0,0,0,0,0,0
Emmeline Vance,1,0,0,0,0,0,1,0,0
Sturgis Podmore,1,0,0,0,0,0,0,0,0
Hestia Jones,1,0,0,0,0,1,0,0,0
Aurthur Weasley,1,0,0,0,0,1,0,0,0
Bill Weasley,1,0,0,0,1,1,0,0,0
Charlie Weasley,1,0,0,0,1,1,0,0,0
Hermione Granger,1,1,0,0,1,1,0,0,0
Harry Potter,1,1,0,0,0,1,0,0,0
Cho Chang,0,1,0,0,0,0,1,0,0
Ron Weasley,1,1,0,0,1,1,0,0,0
Lavendar Brown,0,1,0,0,0,1,0,0,0
George Weasley,1,1,0,0,0,1,0,0,0
Fred Weasley,1,1,0,0,0,1,0,0,0
Neville Longbottom,0,1,0,0,0,1,0,0,0
Colin Creevey,0,1,0,0,0,1,0,0,0
Luna Lovegood,0,1,0,0,0,0,1,0,0
Dean Thomas,0,1,0,0,0,1,0,0,0
Katie Bell,0,1,0,0,0,1,0,0,0
Angelina Johnson,0,1,0,0,0,1,0,0,0
Hannah Abbott,0,1,0,0,1,0,0,1,0
Lee Jordon,0,1,0,0,0,1,0,0,0
Anthony Goldstein,0,1,0,0,1,0,0,0,0
Ernie Macmilan,0,1,0,0,1,0,0,0,0
Justin Finch-Fletchley,0,1,0,0,0,0,0,1,0
Padma Patil,0,1,0,0,1,0,1,0,0
Seamus Finnigan,0,1,0,0,0,1,0,0,0
Susan Bones,0,1,0,0,0,0,0,1,0
Marietta Edgecombe,0,1,0,0,0,0,1,0,0
Alicia Spinnet,0,1,0,0,0,1,0,0,0
Dennis Creevey,0,1,0,0,0,1,0,0,0
Ginny Weasley,0,1,0,0,0,1,0,0,0
Parvati Patil,0,1,0,0,0,1,0,0,0
Nigel Wolpert,0,1,0,0,0,1,0,0,0
Cormac McLaggen,0,1,0,0,0,1,0,0,0
Romilda Vane,0,1,0,0,0,1,0,0,0
Michael Corner,0,1,0,0,0,0,1,0,0
Terry Boot,0,1,0,0,0,0,1,0,0
Maisy Reynolds,0,1,0,0,0,0,1,0,0
Leanne,0,1,0,0,0,0,0,1,0
Zacharias Smith,0,1,0,0,0,0,0,1,0
Luca Caruso,0,1,0,0,0,0,0,0,0
Alice Toplin,0,1,0,0,0,0,0,0,0
James Potter,1,0,0,0,0,1,0,0,0
Lilly Potter,1,0,0,0,0,1,0,0,0
Peter Petigrew,1,0,1,0,0,1,0,0,0
Fabian Prewett,1,0,0,0,0,1,0,0,0
Gideon Prewett,1,0,0,0,0,1,0,0,0
Frank Longbottom,1,0,0,0,0,1,0,0,0
Alice Longbottom,1,0,0,0,0,1,0,0,0
Edgar Bones,1,0,0,0,0,0,1,0,0
Benjy Fenwick,1,0,0,0,0,1,0,0,0
Caradoc Dearborn,1,0,0,0,0,0,0,0,0
Dorcas Meadowes,1,0,0,0,0,1,0,0,0
Marlene McKinnon,1,0,0,0,0,1,0,0,0
Fleur Delacour,1,0,0,0,0,0,0,0,0
Bellatrix Lestrange,0,0,1,0,0,0,0,0,1
Lucius Malfoy,0,0,1,0,1,0,0,0,1
Igor Karkaroff,0,0,1,0,0,0,0,0,0
Regulus Black,0,0,1,0,0,0,0,0,1
Barty Crouch Jr,0,0,1,0,0,0,1,0,0
Antonin Dolohov,0,0,1,0,0,0,0,0,0
Thorfinn Rowle,0,0,1,0,0,0,0,0,0
Augustus Rookwood,0,0,1,0,0,0,0,0,1
Evan Rosier,0,0,1,0,0,0,0,0,1
Walden Macnair,0,0,1,0,0,0,0,0,1
Alecto Carrow,0,0,1,0,0,0,0,0,1
Amycus Carrow,0,0,1,0,0,0,0,0,1
Avery Jnr,0,0,1,0,0,0,0,0,1
Corban Yaxley,0,0,1,0,0,0,0,0,1
Crabbe Snr,0,0,1,0,0,0,0,0,1
Draco Malfoy,0,0,1,1,1,0,0,0,1
Gibbon,0,0,1,0,0,0,0,0,1
Goyle Snr,0,0,1,0,0,0,0,0,1
Jugson,0,0,1,0,0,0,0,0,0
Mulciber Snr,0,0,1,0,0,0,0,0,1
Mulciber Jnr,0,0,1,0,0,0,0,0,1
Nott Snr,0,0,1,0,0,0,0,0,1
Rabastan Lestrange,0,0,1,0,0,0,0,0,1
Rodolphus Lestrange,0,0,1,0,0,0,0,0,1
Tavers,0,0,1,0,0,0,0,0,1
Pansy Parkinson,0,0,0,1,1,0,0,0,1
Millicent Bulstrode,0,0,0,1,0,0,0,0,1
Vincent Crabbe,0,0,0,1,0,0,0,0,1
Gregory Goyle,0,0,0,1,0,0,0,0,1
Graham Montague,0,0,0,1,0,0,0,0,1
Cassius Warrington,0,0,0,1,0,0,0,0,1
Argus Filch,0,0,0,1,0,0,0,0,0
Dolores Umbridge,0,0,0,1,0,0,0,0,1
Jane Court,0,0,0,0,1,0,0,1,0
Gabriel Truman,0,0,0,0,1,0,0,1,0
Cedric Diggory,0,0,0,0,1,0,0,1,0
Constance Pickering,0,0,0,0,1,0,0,1,0
Natalie Kathryn,0,0,0,0,1,0,0,1,0
Tom Riddle,0,0,1,0,1,0,0,0,1
Felix Rosier,0,0,0,0,1,0,0,0,1
Gemma Farley,0,0,0,0,1,0,0,0,1
Penelope Padgett,0,0,0,0,1,0,0,0,1
Rodrick Lyme,0,0,0,0,1,0,0,0,1
Annalena Murk,0,0,0,0,1,1,0,0,0
Angelica Cole,0,0,0,0,1,1,0,0,0
Percy Weasley,0,0,0,0,1,1,0,0,0
Freddie Clemmons,0,0,0,0,1,1,0,0,0
Dani Caroll,0,0,0,0,1,0,1,0,0
Marcus Turner,0,0,0,0,1,0,1,0,0
Penelope Clearwater,0,0,0,0,1,0,1,0,0
Robert Hillard,0,0,0,0,1,0,1,0,0
Chester Davies,0,0,0,0,1,0,1,0,0
>>>>>>> ddd8143eb7ff8ec084dc93d898e06ddac9104947
